,name,path,variable,size,seed,lr,iter,constrain,dist_weight,ale_l2,ale_l1,ale_max_diff,ale_rho,pd_l2,pd_l1,pd_max_diff,pd_rho
0,heart,results_final/heart/age_64_7_gradient_0.1_50_1.0/,age,64,7,0.1,50,False,1.0,0.005863432493504525,0.005863432493504525,0.012735805890668937,0.3875162548764629,0.0056208004,0.0056208004,0.010044336,-0.05844155844155843
0,titanic,results_final/titanic/Age_32_7_gradient_0.1_50_0.01/,Age,32,7,0.1,50,False,0.01,0.11116168339583005,0.11116168339583005,0.1990592176896281,-0.6400259909031838,0.1224233,0.1224233,0.31560957,-0.7168831168831169
0,xor,results_final/xor/x1_128_7_gradient_0.1_50_0.1/,x1,128,7,0.1,50,False,0.1,0.03620111137207666,0.03620111137207666,0.07127144620276382,0.7919375812743823,0.027745252,0.027745252,0.08969855,-0.5597402597402598
0,bike,results_final/bike/atemp_64_7_gradient_0.1_50_1.0/,atemp,64,7,0.1,50,False,1.0,0.17969123471726384,0.17969123471726384,0.3221095803710186,-0.6335282651072124,0.23514718,0.23514718,0.3978343,-0.8623376623376624
0,heart,results_final/heart/age_64_7_gradient_0.1_50_10.0/,age,64,7,0.1,50,False,10.0,0.0014852492333048395,0.0014852492333048395,0.0027227755230981093,0.9375812743823148,0.0017685748,0.0017685748,0.0029611588,0.6805194805194805
0,titanic,results_final/titanic/Fare_32_7_gradient_0.1_50_0.01/,Fare,32,7,0.1,50,False,0.01,0.06262951629913119,0.06262951629913119,0.10426273763721502,-0.1170662905500705,0.0891277,0.0891277,0.14300752,-0.7922077922077921
0,xor,results_final/xor/x1_128_7_gradient_0.1_50_1.0/,x1,128,7,0.1,50,False,1.0,0.019090227754029215,0.019090227754029215,0.051324598613947156,0.8062418725617684,0.022925444,0.022925444,0.04596901,0.10259740259740259
0,titanic,results_final/titanic/Age_32_7_gradient_0.1_50_0.1/,Age,32,7,0.1,50,False,0.1,0.076450259905497,0.076450259905497,0.12498020951506861,0.7335932423651721,0.087428175,0.087428175,0.19719005,0.8402597402597403
0,bike,results_final/bike/atemp_64_7_gradient_0.1_50_10.0/,atemp,64,7,0.1,50,False,10.0,0.16747678121012155,0.16747678121012155,0.30193417919424526,-0.15919428200129954,0.20246285,0.20246285,0.31031847,-0.033766233766233764
0,xor,results_final/xor/x1_128_7_gradient_0.1_50_10.0/,x1,128,7,0.1,50,False,10.0,0.07234862286737773,0.07234862286737773,0.08893822230314509,0.9596879063719114,0.015536975,0.015536975,0.028911054,0.5831168831168831
0,adult,results_final/adult/age_128_6_gradient_0.1_50_0.0/,age,128,6,0.1,50,False,0.0,0.0867379890842359,0.0867379890842359,0.15707412073599009,-0.52046783625731,0.08280586,0.08280586,0.18987766,-0.9519480519480519
0,heart,results_final/heart/age_128_7_gradient_0.1_50_0.0/,age,128,7,0.1,50,False,0.0,0.010248001616222559,0.010248001616222559,0.021353988742180533,0.16260163461440352,0.018637927,0.018637927,0.033720255,-0.9844155844155844
0,titanic,results_final/titanic/Fare_32_7_gradient_0.1_50_0.1/,Fare,32,7,0.1,50,False,0.1,0.02863317591433507,0.02863317591433507,0.044692309457488796,0.06629055007052186,0.048593685,0.048593685,0.07920128,0.7337662337662337
0,titanic,results_final/titanic/Age_32_7_gradient_0.1_50_1.0/,Age,32,7,0.1,50,False,1.0,0.01826482366183932,0.01826482366183932,0.03151172906645375,1.0,0.025756594,0.025756594,0.04285401,1.0
0,xor,results_final/xor/x1_32_8_gradient_0.1_50_0.0/,x1,32,8,0.1,50,False,0.0,0.11041040712319077,0.11041040712319077,0.2543415790756264,-0.8530559167750326,0.09889503,0.09889503,0.24989617,-0.9493506493506494
0,bike,results_final/bike/atemp_128_7_gradient_0.1_50_0.0/,atemp,128,7,0.1,50,False,0.0,0.10743298037076696,0.10743298037076696,0.1826550674099506,0.13342028724771682,0.1830447,0.1830447,0.2862719,-0.9272727272727272
0,heart,results_final/heart/age_128_7_gradient_0.1_50_0.001/,age,128,7,0.1,50,False,0.001,0.011648112093371863,0.011648112093371863,0.020175769148342702,-0.05981794538361508,0.018668542,0.018668542,0.03375107,-0.9896103896103896
0,xor,results_final/xor/x1_32_8_gradient_0.1_50_0.001/,x1,32,8,0.1,50,False,0.001,0.10294376718241896,0.10294376718241896,0.20681291967742083,-0.7672301690507152,0.09356161,0.09356161,0.22531459,-0.8636363636363636
0,titanic,results_final/titanic/Fare_32_7_gradient_0.1_50_1.0/,Fare,32,7,0.1,50,False,1.0,0.005374134273217565,0.005374134273217565,0.009054255175712032,0.7644569816643159,0.011384433,0.011384433,0.027136356,0.9909090909090909
